profile_key,city,num_days,solver,num_candidates,total_relevance,avg_relevance,num_activities_included,real_overrun_day_rate,real_overrun_min_avg,idle_minutes_per_day,stops_per_day,solve_time_ms
friends_nightlife,Roma,4,toptw,80,13.6712,0.4714,29,0.0,0.0,151.2,7.25,554
friends_nightlife,Roma,4,toptw,100,15.8491,0.4803,33,0.0,0.0,143.3,8.25,579
friends_nightlife,Roma,4,toptw,120,14.4984,0.4833,30,0.0,0.0,155.9,7.5,515
family_toddlers,Roma,2,greedy,80,10.6477,0.7098,15,0.0,0.0,15.0,7.5,988
family_toddlers,Roma,2,toptw,20,11.2563,0.6621,17,0.0,0.0,67.8,8.5,3684
family_toddlers,Roma,2,toptw,40,9.7809,0.6521,15,0.0,0.0,205.5,7.5,246
family_toddlers,Roma,2,toptw,60,9.6833,0.6456,15,0.0,0.0,216.2,7.5,803
family_toddlers,Roma,2,toptw,80,11.2772,0.6634,17,0.0,0.0,87.7,8.5,362
family_toddlers,Roma,2,toptw,100,9.1308,0.6087,15,0.0,0.0,281.4,7.5,391
family_toddlers,Roma,2,toptw,120,9.303,0.6202,15,0.0,0.0,274.8,7.5,1433
family_toddlers,Roma,4,greedy,80,20.0978,0.5911,34,0.0,0.0,0.0,8.5,751
family_toddlers,Roma,4,toptw,20,20.8122,0.6121,34,0.0,0.0,105.0,8.5,4283
family_toddlers,Roma,4,toptw,40,18.5286,0.6617,28,0.0,0.0,191.4,7.0,884
family_toddlers,Roma,4,toptw,60,18.4996,0.6167,30,0.0,0.0,193.2,7.5,470
family_toddlers,Roma,4,toptw,80,19.5082,0.5912,33,0.0,0.0,211.5,8.25,414
family_toddlers,Roma,4,toptw,100,18.6445,0.565,33,0.0,0.0,180.3,8.25,1325
family_toddlers,Roma,4,toptw,120,18.9907,0.5755,33,0.0,0.0,165.4,8.25,602
family_teen,Roma,2,greedy,80,9.014,0.6934,13,0.0,0.0,37.0,6.5,624
family_teen,Roma,2,toptw,20,8.9383,0.7449,12,0.0,0.0,161.9,6.0,217
family_teen,Roma,2,toptw,40,9.5801,0.7369,13,0.0,0.0,181.4,6.5,258
family_teen,Roma,2,toptw,60,10.5447,0.703,15,0.0,0.0,206.2,7.5,708
family_teen,Roma,2,toptw,80,10.3188,0.7371,14,0.0,0.0,43.1,7.0,316
family_teen,Roma,2,toptw,100,9.3212,0.717,13,0.0,0.0,185.8,6.5,396
family_teen,Roma,2,toptw,120,9.3487,0.7191,13,0.0,0.0,186.7,6.5,374
family_teen,Roma,4,greedy,80,19.2688,0.6644,29,0.0,0.0,3.8,7.25,897
family_teen,Roma,4,toptw,20,16.2435,0.7062,23,0.0,0.0,101.3,5.75,1338
family_teen,Roma,4,toptw,40,18.011,0.7204,25,0.0,0.0,153.2,6.25,282
family_teen,Roma,4,toptw,60,18.3278,0.6788,27,0.0,0.0,224.8,6.75,362
family_teen,Roma,4,toptw,80,17.049,0.682,25,0.0,0.0,91.4,6.25,458
family_teen,Roma,4,toptw,100,20.2768,0.6541,31,0.0,0.0,126.3,7.75,1377
family_teen,Roma,4,toptw,120,18.6523,0.6662,28,0.0,0.0,195.6,7.0,651
couple_museums,Roma,2,greedy,80,14.1606,0.944,15,0.0,0.0,26.5,7.5,604
couple_museums,Roma,2,toptw,20,10.9902,0.9991,11,0.0,0.0,75.4,5.5,237
couple_museums,Roma,2,toptw,40,10.584,0.9622,11,0.0,0.0,97.5,5.5,276
couple_museums,Roma,2,toptw,60,9.5647,0.9565,10,0.0,0.0,97.5,5.0,338
couple_museums,Roma,2,toptw,80,10.4402,0.9491,11,0.0,0.0,105.0,5.5,327
couple_museums,Roma,2,toptw,100,10.1079,0.9189,11,0.0,0.0,105.0,5.5,373
couple_museums,Roma,2,toptw,120,9.7252,0.8841,11,0.0,0.0,120.0,5.5,386
